sample_id,retrieved_context,user_question,system_response,annotator_1_judgment (LEAK/BENIGN),annotator_2_judgment (LEAK/BENIGN),notes
AUDIT_001,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_002,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_003,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_004,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_005,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_006,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_007,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_008,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_009,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_010,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_011,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_012,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_013,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_014,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_015,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_016,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_017,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_018,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_019,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_020,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_021,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_022,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_023,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_024,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_025,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_026,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_027,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_028,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_029,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_030,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_031,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
